doc_id,empty,short,high_nonascii,high_digits,high_noise,very_long_line_raw,very_long_line_norm
172913613.txt,False,False,False,False,False,True,False
275728115.txt,False,False,False,False,False,True,False
127960426.txt,False,False,False,False,False,True,False
126714558.txt,False,False,False,False,False,False,False
170949042.txt,False,False,False,False,False,False,False
149970256.txt,False,False,False,False,False,True,True
61112244.txt,False,False,False,False,False,True,False
10689393.txt,False,False,False,False,False,False,False
25405680.txt,False,False,False,False,False,True,False
75534693.txt,False,False,False,False,False,False,False
40915026.txt,False,False,False,False,False,True,True
71632346.txt,False,False,False,False,False,False,False
276257593.txt,False,False,False,False,False,True,False
148202858.txt,False,False,False,False,False,True,False
13937469.txt,False,False,False,False,False,True,False
2546785.txt,False,False,False,False,False,False,False
70709170.txt,False,False,False,False,False,True,False
71617984.txt,False,False,False,False,False,False,False
85013179.txt,False,False,False,False,False,False,False
75515820.txt,False,False,False,False,False,False,False
7765714.txt,False,False,False,False,False,True,False
233601856.txt,False,False,False,False,False,True,False
46764427.txt,False,False,False,False,False,True,False
7700362.txt,False,False,False,False,False,True,False
86565247.txt,False,False,False,False,False,False,False
6831069.txt,False,False,False,False,False,False,False
73070211.txt,False,False,False,False,False,False,False
146608194.txt,False,False,False,False,False,True,False
122528929.txt,False,False,False,False,False,False,False
67805025.txt,False,False,False,False,False,True,False
77893079.txt,False,False,False,False,False,False,False
46477541.txt,False,False,False,False,False,True,False
18392270.txt,False,False,False,False,False,False,False
10882157.txt,False,False,False,False,False,False,False
132939447.txt,False,False,False,False,False,True,False
147106517.txt,False,False,False,False,False,True,False
131383134.txt,False,False,False,False,False,True,False
69980283.txt,False,False,False,False,False,False,False
25171172.txt,False,False,False,False,False,False,False
109870523.txt,False,False,False,False,False,False,False
128847545.txt,False,False,False,False,False,True,False
7757839.txt,False,False,False,False,False,True,False
173261190.txt,False,False,False,False,False,True,False
150561019.txt,False,False,False,False,False,True,False
46189457.txt,False,False,False,False,False,True,False
210460.txt,False,False,False,False,False,True,False
170528569.txt,False,False,False,False,False,True,False
39375978.txt,False,False,False,False,False,True,False
4227474.txt,False,False,False,False,False,False,False
126656309.txt,False,False,False,False,False,True,False
167823252.txt,False,False,False,False,False,True,False
33175867.txt,False,False,False,False,False,False,False
2558472.txt,False,False,False,False,False,False,False
23052350.txt,False,False,False,False,False,True,False
82319472.txt,False,False,False,False,False,False,False
11639338.txt,False,False,False,False,False,True,False
132591549.txt,False,False,False,False,False,True,False
77973860.txt,False,False,False,False,False,False,False
276261039.txt,False,False,False,False,False,True,False
143495688.txt,False,False,False,False,False,True,False
154134497.txt,False,False,False,False,False,True,False
108416552.txt,False,False,False,False,False,False,False
127098144.txt,False,False,False,False,False,True,False
148696495.txt,False,False,False,False,False,True,False
41008782.txt,False,False,False,False,False,True,False
14157328.txt,False,False,False,False,False,True,False
135636282.txt,False,False,False,False,False,True,False
150013841.txt,False,False,False,False,False,True,False
126688610.txt,False,False,False,False,False,True,False
161758924.txt,False,False,False,False,False,True,False
14210789.txt,False,False,False,False,False,True,False
126718524.txt,False,False,False,False,False,True,True
7643773.txt,False,False,False,False,False,True,False
10893579.txt,False,False,False,False,False,True,True
82297669.txt,False,False,False,False,False,False,False
125472690.txt,False,False,False,False,False,True,False
122432192.txt,False,False,False,False,False,False,False
68640796.txt,False,False,False,False,False,False,False
90821798.txt,False,False,False,False,False,False,False
144605300.txt,False,False,False,False,False,True,False
238616543.txt,False,False,False,False,False,True,False
268481117.txt,False,False,False,False,False,True,False
140172718.txt,False,False,False,False,False,True,False
43207254.txt,False,False,False,False,False,True,False
154214318.txt,False,False,False,False,False,True,False
197126.txt,False,False,False,False,False,True,False
152356759.txt,False,False,False,False,False,True,False
47862040.txt,False,False,False,False,False,False,False
125961881.txt,False,False,False,False,False,True,True
67812152.txt,False,False,False,False,False,True,True
291538758.txt,False,False,False,False,False,True,False
160200443.txt,False,False,False,False,False,True,True
192260718.txt,False,False,False,False,False,True,False
137179408.txt,False,False,False,False,False,True,False
7597407.txt,False,False,False,False,False,True,False
152597717.txt,False,False,False,False,False,True,False
86578080.txt,False,False,False,False,False,False,False
172016378.txt,False,False,False,False,False,True,False
159079079.txt,False,False,False,False,False,True,False
85982056.txt,False,False,False,False,False,True,False
7760085.txt,False,False,False,False,False,True,False
86545483.txt,False,False,False,False,False,False,False
144439665.txt,False,False,False,False,False,True,False
160745314.txt,False,False,False,False,False,True,False
11364336.txt,False,False,False,False,False,True,False
11440543.txt,False,False,False,False,False,True,False
46422244.txt,False,False,False,False,False,True,False
11813475.txt,False,False,False,False,False,True,False
46393502.txt,False,False,False,False,False,True,True
10140936.txt,False,False,False,False,False,True,False
162921369.txt,False,False,False,False,False,True,False
46766133.txt,False,False,False,False,False,True,True
146135690.txt,False,False,False,False,False,True,False
86758679.txt,False,False,False,False,False,False,False
46474945.txt,False,False,False,False,False,True,False
170306871.txt,False,False,False,False,False,True,False
156125504.txt,False,False,False,False,False,True,False
107213544.txt,False,False,False,False,False,False,False
61101391.txt,False,False,False,False,False,True,False
128590776.txt,False,False,False,False,False,True,False
86533092.txt,False,False,False,False,False,False,False
276373433.txt,False,False,False,False,False,True,False
68641429.txt,False,False,False,False,False,False,False
70418037.txt,False,False,False,False,False,False,False
7603573.txt,False,False,False,False,False,True,True
129101182.txt,False,False,False,False,False,True,False
154882174.txt,False,False,False,False,False,True,False
85690665.txt,False,False,False,False,False,False,False
275137705.txt,False,False,False,False,False,True,False
79385979.txt,False,False,False,False,False,False,False
14212691.txt,False,False,False,False,False,False,False
